family,block,K_selected,entropy.x,country,icl,bic,entropy.y
galilea,1,2,512.0424614125509,chile,4987.040832507677,3962.955909682575,512.0424614125509
gallardo,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
galleguillos,1,2,512.0424614125509,chile,4987.040832507677,3962.955909682575,512.0424614125509
galvis_galavís,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
galán,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
gandarillas,1,2,512.0424614125509,chile,4987.040832507677,3962.955909682575,512.0424614125509
garcés,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
garcía-huidobro,2,2,512.0424614125509,chile,4987.040832507677,3962.955909682575,512.0424614125509
garcía-mansilla,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
garcía_calderón,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
garcía_de_león,1,2,512.0424614125509,mexico,4987.040832507677,3962.955909682575,512.0424614125509
garcía_de_sobrecasa,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
garcía_de_zúñiga,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
garcía_godos,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
garcía_granados,1,2,512.0424614125509,mexico,4987.040832507677,3962.955909682575,512.0424614125509
garcía_icazbalceta,1,2,512.0424614125509,mexico,4987.040832507677,3962.955909682575,512.0424614125509
garcía_y_garcía,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
garretón,1,2,512.0424614125509,chile,4987.040832507677,3962.955909682575,512.0424614125509
garrido-lecca,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
garza_sada,1,2,512.0424614125509,mexico,4987.040832507677,3962.955909682575,512.0424614125509
gastañeta,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
gibson,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
gildemeister,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
gilinski,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
gnecco,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
godoy,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
gonzález-olaechea,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
gonzález_de_cosío,1,2,512.0424614125509,mexico,4987.040832507677,3962.955909682575,512.0424614125509
gonzález_del_valle,1,2,512.0424614125509,mexico,4987.040832507677,3962.955909682575,512.0424614125509
gonzález_guevara,1,2,512.0424614125509,mexico,4987.040832507677,3962.955909682575,512.0424614125509
gonzález_rojo,1,2,512.0424614125509,mexico,4987.040832507677,3962.955909682575,512.0424614125509
