url,coordinator,consultant,gatekeeper,representative,liaison,nombre,familia,pais,total_brokerage,norm_coordinator,norm_consultant,norm_gatekeeper,norm_representative,norm_liaison
https://es.wikipedia.org/wiki/Agust%C3%ADn_Edwards_Eastman,0,0,0,1,0,Agustín Edwards Eastman,edwards,chile,1,0,0,0,1,0
https://es.wikipedia.org/wiki/Agust%C3%ADn_Edwards_Mac-Clure,2,0,0,0,0,Agustín Edwards Mac-Clure,edwards,chile,2,1,0,0,0,0
https://es.wikipedia.org/wiki/Agust%C3%ADn_Edwards_Ossand%C3%B3n,16,0,0,0,0,Agustín Edwards Ossandón,edwards,chile,16,1,0,0,0,0
https://es.wikipedia.org/wiki/Agust%C3%ADn_Edwards_Ross,30,0,0,0,0,Agustín Edwards Ross,edwards,chile,30,1,0,0,0,0
https://es.wikipedia.org/wiki/Agust%C3%ADn_Jer%C3%B3nimo_de_Iturbide,0,0,0,0,0,Agustín Jerónimo de Iturbide,iturbide,mexico,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Agust%C3%ADn_P._Justo_%28padre%29,0,0,0,0,0,Agustín P. Justo (padre),justo,argentina,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Agust%C3%ADn_Pedro_Justo,1,0,0,0,0,Agustín Pedro Justo,justo,argentina,1,1,0,0,0,0
https://es.wikipedia.org/wiki/Agust%C3%ADn_Rodr%C3%ADguez_Jurado,0,0,0,0,0,Agustín Rodríguez Jurado,"rodríguez_(san_luis,_argentina)",argentina,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Agust%C3%ADn_Vial_Santelices,0,0,0,0,0,Agustín Vial Santelices,vial,chile,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Agust%C3%ADn_de_Escalada_Iriondo,0,0,0,0,0,Agustín de Escalada Iriondo,escalada_(de_burgos),argentina,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Agust%C3%ADn_de_Iriondo_Candioti,0,0,0,0,0,Agustín de Iriondo Candioti,candioti,argentina,0,0,0,0,0,0
